Employer,Union,Union Local,Case Number,BU,NAICS,Industry,"City, State",# Idled,Start Date,End Date,Duration
Grain Processing Corporation,UFCW Local 86D,,2008008H01ZT,,,Manufacturing,"Muscatine, IA",360.0,2008-08-23,2015-01-09,
Kaiser Permanente(the Psych-Social Chapter Unit),51033NUHW Local ,,2010N0402246,,,Health Care and Social Assistance,"Pasadena, CA",900.0,2015-01-12,2015-01-19,
Kaiser Permanente ,51033NUHW Local ,,2011N0505302,,,Health Care and Social Assistance,"Oakland, CA",1150.0,2015-01-12,2015-01-19,
Sutter Central Valley Hospitals d/b/a Sutter Tracy Community Hospital,CNA Local Glendale,,2012N0512093,,,Health Care and Social Assistance,"Tracy, CA",140.0,2015-04-30,2015-05-05,
Nathan Littauer Hospital Association,NYSNA Local ,,2013N0303726,,,Health Care and Social Assistance,"Gloversville, NY",151.0,2016-01-06,2016-01-10,
Trayer Engineering,SMWIA Local 104,,2013N0502378,,,Manufacturing,"San Francisco, CA",28.0,2015-01-19,2015-07-23,
Rhode Island School of Design,NEARI/RASA Local ,,201408460022,,,Educational Services,"Providence, RI",44.0,2015-04-02,2015-04-06,
San Rafael Healthcare & Wellness Centre,NUHW Local N/A,,201490090010,,,Health Care and Social Assistance,"Emeryville, CA",64.0,2017-08-22,2017-08-24,
PEACEHEALTH LABORATORIES,SEIU Healthcare Local 1199NW,,201490090014,,,Health Care and Social Assistance,"Bellingham, WA",152.0,2015-05-13,2015-05-15,
New York Dialysis Services Inc (Sound Shore Dialysis),NYSNA Local ,,2014N0300013,,,Health Care and Social Assistance,"New Rochelle, NY",32.0,2017-06-12,2017-06-12,
PeaceHealth Inc. d/b/a PeaceHealth St. Joseph Medical Center,SEIU Healthcare Local 1199NW,,2014N0300424,,,Health Care and Social Assistance,"Bellingham, WA",712.0,2015-05-13,2015-05-15,
Golan's Moving and Storage,IBT Local 705,,2014N0300979,,,Personal Serv & Private Organizations,"Chicago, IL",70.0,2014-07-28,2015-02-06,
New York Dialysis Management Inc. (Montifiore Dialysis Services III & IV),NYSNA Local ,,2014N0301930,,,Health Care and Social Assistance,"Bronx, NY",28.0,2017-06-12,2017-06-12,
"The Bridge, Inc.",SEIU/UHWE Local 1199,,2014N0302166,,,Health Care and Social Assistance,"New York, NY",220.0,2015-05-28,2015-05-28,
"The Bridge, Inc.",SEIU/UHWE Local 1199,,2014N0302166,,,Health Care and Social Assistance,"New York, NY",220.0,2015-06-11,2015-06-11,
Piemont's Dundee Chevrolet Inc.,IAMAW/AMU Local 701,,2014N0303429,,,Retail Trade,"East Dundee, IL",12.0,2014-07-09,2015-01-28,
Piemont's Dundee Chevrolet Inc.,IAMAW/AMU Local 701,,2014N0303429,,,Retail Trade,"East Dundee, IL",9.0,2015-02-16,2015-12-03,
"Mallinckrodt, Inc. Covidien",IBT Local 50,,2014N0303525,,,Manufacturing,"Greenville, IL",55.0,2015-02-23,2015-02-23,
RHI Monofrax LTD,IAMAW Local 2105 ,,2014N0303580,,,Manufacturing,"Falconer, NY",14.0,2014-09-29,2015-01-31,
Monofrax Inc.,NCFO/SEIU Local 266,,2014N0303745,,,Not Provided,"Falconer, NY",130.0,2014-09-29,2015-02-04,
Santa Rosa Memorial Hospital,SNA Local ,,2014N0501088,,,Health Care and Social Assistance,"Santa Rosa, CA",605.0,2015-04-27,2015-04-28,
Providence Little Company of Mary Medical Center Torrance,CNA Local Glendale,,2014N0501183,,,Health Care and Social Assistance,"Torrance, CA",620.0,2015-05-01,2015-05-06,
Cascade Behavioral Health,SEIU Healthcare Local 1199NW,,2014N0501952,,,Health Care and Social Assistance,"Tukwila, WA",100.0,2015-05-14,2015-05-14,
Sutter Auburn Faith Hospital,California Nurses Association Local N/A,,2014N0502000,,,Health Care and Social Assistance,"Auburn, CA",150.0,2015-04-30,2015-05-05,
Sutter Roseville Medical Center,California Nurses Association Local N/A,,2014N0502001,,,Health Care and Social Assistance,"Roseville, CA",940.0,2015-04-30,2015-05-05,
Sutter Santa Rosa Medical Center ,California Nurses Association Local N/A,,2014N0502025,,,Health Care and Social Assistance,"Santa Rosa, CA",500.0,2015-04-30,2015-05-05,
